formula,symmetry_type,symmetry_value,in_c2db,in_2dmatpedia_final
AcSe3,number,191,False,True
Ag12Br12,number,39,True,False
Ag12Cl12,number,7,True,False
Ag12F12,number,39,True,False
Ag12O14Si4,number,13,False,True
Ag12Te11,number,1,True,False
Ag15I12,number,1,True,False
Ag16Cl16,number,39,True,False
Ag16Se8,number,67,True,False
Ag18S11,number,1,False,True
Ag18Se11,number,1,False,True
Ag18Te11,number,1,False,True
Ag2,number,164,True,False
Ag2As2O4,number,26,True,False
Ag2As2O6,number,12,True,False
Ag2As2O6,number,162,True,False
Ag2As2S4,number,26,True,False
Ag2As2S6,number,12,True,False
Ag2As2S6,number,162,True,False
Ag2As2Se4,number,26,True,False
Ag2As2Se6,number,162,True,False
Ag2As2Te4,number,26,True,False
Ag2As2Te6,number,162,True,False
Ag2As4Br2O3,number,6,True,False
Ag2As4Br2S3,number,6,True,False
Ag2As4Br2Se3,number,6,True,False
Ag2As4Br2Te3,number,6,True,False
Ag2As4Cl2O3,number,6,True,False
Ag2As4Cl2S3,number,6,True,False
Ag2As4Cl2Se3,number,6,True,False
Ag2As4Cl2Te3,number,6,True,False
Ag2As4F2O3,number,6,True,False
Ag2As4F2S3,number,6,True,False
Ag2As4F2Se3,number,6,True,False
Ag2As4F2Te3,number,6,True,False
Ag2As4I2S3,number,6,True,False
Ag2As4I2Se3,number,6,True,False
Ag2As4I2Te3,number,6,True,False
Ag2As4S12,number,12,True,False
Ag2Au2Cl6,number,12,True,False
Ag2Au2Cl8,number,13,True,True
Ag2Au2F8,number,2,True,False
Ag2Au2I8,number,2,True,False
Ag2Au2Se2,number,51,True,False
Ag2Au4S4,number,7,False,True
Ag2AuSe2,number,164,True,False
Ag2B2Br2O2,number,31,True,False
Ag2B2Br2S2,number,31,True,False
Ag2B2Cl2S2,number,31,True,False
Ag2B2F2O2,number,31,True,False
Ag2B2I2O2,number,31,True,False
Ag2B2I2S2,number,31,True,False
Ag2B4Br2F4N2,number,2,True,False
Ag2B4Br2H4N2,number,2,True,False
Ag2B4C2F4I2,number,12,True,False
Ag2B4Cl2F4N2,number,2,True,False
Ag2B4F4I2N2,number,2,True,False
Ag2B4H4I2N2,number,1,True,False
Ag2B6H8I2N2,number,1,True,False
Ag2Ba2,number,191,True,True
Ag2BaO8,number,89,True,False
Ag2BaS8,number,89,True,False
Ag2Be2,number,191,False,True
Ag2Bi2Cl4S2,number,51,False,True
Ag2Bi2O4,number,10,False,True
Ag2Bi2O4,number,11,False,True
Ag2Bi2O4,number,51,True,False
Ag2Bi2P4S12,number,2,False,True
Ag2Bi2S4,number,26,True,False
Ag2Bi2Se4,number,26,True,False
Ag2Bi2Te4,number,26,True,False
Ag2Bi6,number,49,False,True
Ag2Br2,number,10,True,False
Ag2Br2,number,11,True,False
Ag2Br2,number,129,True,False
Ag2Br2,number,164,True,True
Ag2Br2,number,26,True,False
Ag2Br2,number,51,False,True
Ag2Br2,number,67,True,True
Ag2Br2C2F4N4,number,2,True,False
Ag2Br2C2O2,number,31,True,False
Ag2Br2C2S2,number,31,True,False
Ag2Br2C4F4N2,number,2,True,False
Ag2Br2C4H4N2,number,2,True,False
Ag2Br2C6F4,number,12,True,False
Ag2Br2C6H4,number,2,True,False
Ag2Br2C6H8N2,number,2,True,False
Ag2Br2C8H8,number,2,True,False
Ag2Br2H4N6,number,2,True,False
Ag2Br2I,number,164,True,False
Ag2Br2N2,number,59,True,False
Ag2Br2N2S2,number,31,True,False
Ag2Br2O2,number,59,True,False
Ag2Br2O3P4,number,6,True,False
Ag2Br2P4S3,number,6,True,False
Ag2Br2P4Se3,number,6,True,False
Ag2Br2P4Te3,number,6,True,False
Ag2Br2S,number,1,True,False
Ag2Br2S2,number,59,True,False
Ag2Br2S3Sb4,number,6,True,False
Ag2Br2S4,number,17,True,False
Ag2Br2SSe,number,1,True,False
Ag2Br2Sb4Se3,number,6,True,False
Ag2Br2Sb4Te3,number,6,True,False
Ag2Br2Se2,number,59,True,False
Ag2Br2Se4,number,17,True,False
Ag2Br2Se4,number,4,True,False
Ag2Br2Te2,number,59,True,False
Ag2Br2Te4,number,17,True,False
Ag2Br2Te4,number,4,True,False
Ag2Br3I,number,3,True,False
Ag2Br4,number,12,True,False
Ag2Br4,number,14,True,True
Ag2Br4Cl2,number,2,True,False
Ag2Br4H2,number,11,True,False
Ag2Br4I2,number,8,True,False
Ag2Br4O12,number,4,True,False
Ag2Br6,number,162,True,False
Ag2Br6,number,191,True,False
Ag2Br6,number,2,True,False
Ag2Br6,number,59,True,False
Ag2Br6,number,7,True,False
Ag2Br6,number,8,True,False
Ag2BrCl2,number,164,True,False
Ag2BrCl2Se,number,1,True,False
