formula,sym_val,ehull_c2db,decomp_energy_m2,gap_c2db,gap_m2,magmom_u_c2db,total_magnetization_m2,energy_c2db,energy_per_atom_m2,natoms_m2,total_energy_m2
Ag2Au2Cl8,13,0.0,0.0,0.9089746727105252,0.8121,,0.0,-30.882452732185456,-2.6032279233333333,12,-31.238735079999998
Ag2Ba2,191,0.15234337938970688,0.18102218250000002,,0.0,,-0.0002949,-9.962850959117807,-2.479748455,4,-9.91899382
Ag2Br2,164,0.009141666923021818,0.037847207500000035,1.7238042684096084,1.8663999999999996,,-0.0,-10.201959182965647,-2.5640833225,4,-10.25633329
Ag2Br2,67,0.010122649385717664,0.07073055000000039,2.443795497814329,2.5154,,-0.0,-10.198035253114863,-2.53119998,4,-10.12479992
Ag2Br4,14,0.0005875341943824367,0.03683813166666683,0.0,0.0,,1.8579222,-13.46518385442412,-2.2407871483333333,6,-13.44472289
Ag2Ca2,191,0.31061867168532586,0.3303582275000001,,0.0,,0.0191955,-9.882946304173815,-2.4247635325,4,-9.69905413
Ag2Cl2,164,0.017565641375941965,0.0329961299999999,1.5687288770390075,1.8936000000000002,,0.0,-10.933981409124785,-2.73445157,4,-10.93780628
Ag2Cl2,51,0.02835043713705865,0.05899504500000008,2.506267176961682,0.9836999999999998,,0.0,-10.890842226080318,-2.708452655,4,-10.83381062
Ag2Cl2,67,4.871170956244342e-05,0.040024519999999786,2.5206577081547525,2.6818000000000004,,-0.0,-11.004049127790303,-2.72742318,4,-10.90969272
Ag2Cl4,14,0.0,0.0,0.0,0.0,,2.0030928,-15.003256992489433,-2.487911233333333,6,-14.927467399999998
Ag2Cr2P4S12,13,0.0,0.0,0.9970750904765358,0.9680999999999997,5.999957773422828,6.0070623,-102.15082693555478,-5.1496008035,20,-102.99201607
Ag2F4,14,0.02432570085540438,0.06631374999999995,0.004376930886414776,0.0,,2.0038152,-19.359419359125738,-3.271170365,6,-19.62702219
Ag2Ge2O6,51,0.07021785559852063,0.34376278000000227,0.0,0.0,,-0.0142269,-55.06054072488701,-5.125341584,10,-51.25341584
Ag2I2,129,0.0160880311427003,0.033152857499999744,1.8740187751727029,2.0797999999999996,,-0.0,-9.64773231698996,-2.4259425975,4,-9.70377039
Ag2I2,164,0.009961411810699428,0.02348195750000004,1.7684724011775892,2.0285,,0.0,-9.672238794317963,-2.4356134975,4,-9.74245399
Ag2O4S,21,0.03848414468753804,0.0,2.1644612616964594,2.1495,,-0.0,-36.04404039397804,-5.014743498571429,7,-35.10320449
Ag2O4Se,21,0.051618772525628236,0.0,1.6196224036544344,1.5468000000000002,,-0.0,-32.5541395922852,-4.497775081428571,7,-31.48442557
Ag2S2,10,0.11986448394664562,0.0,0.9615159891823399,0.9871999999999996,,-0.0,-13.58200912725537,-3.3660729975,4,-13.46429199
Ag2S2,59,0.307748957701365,0.17682263648437546,,0.0,,-8.8e-06,-12.830471232236492,-3.1783086125,4,-12.71323445
Ag2Se2,10,0.08947540752851998,0.1054563766015626,0.7502400189894041,0.7203000000000004,,-0.0,-12.556455572516683,-3.1071864675,4,-12.42874587
Ag2Se2,59,0.12003264346167516,0.13775688660156282,,0.0,,1.2e-06,-12.434226628784062,-3.0748859575,4,-12.29954383
Ag2Sr2,191,0.22058284995565147,0.25311578125,,0.0,,-5.2e-06,-9.455476018333902,-2.3283872475,4,-9.31354899
Ag2Te2,10,0.11041315687314457,0.14548753937499992,0.4772290620231727,0.10350000000000037,,0.0,-11.85223071730168,-2.88947475,4,-11.557899
Ag2Te2,129,0.1390274804715821,0.15192551187500003,,0.0,,-1.49e-05,-11.73777342290793,-2.8830367775,4,-11.53214711
Ag2V2P4S12,13,0.00027952507704256393,0.029059236070315464,0.02783358075282516,0.0,,0.2042351,-100.9036822741578,-5.107774145,20,-102.1554829
AgBiP2Se6,143,0.0,0.0,1.1007591302681417,1.4659,,-0.0,-41.047624122057805,-4.0323163630000005,10,-40.32316363
AgBr,187,0.051919309499126653,0.08501823500000016,1.5699585067959774,1.7542999999999997,,0.0,-5.015424306330614,-2.516912295,2,-5.03382459
AgBr2,115,0.10975717801291478,0.14679495333333348,0.0,0.0,,6.3e-06,-6.405082995756463,-2.1308303266666666,3,-6.39249098
AgCl,187,0.03852599863942929,0.050227189999999755,1.6579021396079194,1.9701000000000004,,-0.0001682,-5.425069990035418,-2.71722051,2,-5.43444102
AgCl2,115,0.16097788356739665,0.05676686612333315,0.0,0.0,,0.3284938,-7.018694845542527,-2.336067116666667,3,-7.00820135
AgCuTe2,25,0.04985512808013204,0.0707223109374997,0.0,0.0,,-4.8e-06,-13.006389383618714,-3.2885086275,4,-13.15403451
AgGaP2Se6,149,0.0012600539809008993,0.01775464587499931,0.9098135444974016,0.9722,,0.0,-39.5521596160265,-3.967838793,10,-39.67838793
AgI2,115,0.11723026989867935,0.1424469066666667,0.0,0.0,,-2.43e-05,-5.982776993011127,-2.0033031433333335,3,-6.00990943
AgInP2S6,149,0.0,0.0,1.317293751322512,1.3938000000000001,,0.0,-44.071556282975685,-4.43019121,10,-44.3019121
AgInP2Se6,149,0.0,0.0,0.8630466948580029,0.9136000000000002,,0.0,-39.556641905788844,-3.955593525,10,-39.55593525
AgS2,164,0.5287436575352773,0.24756292130208335,,0.0,,-0.0001258,-9.52256984133771,-3.1439974233333334,3,-9.43199227
AgScP2S6,149,0.0,0.0,2.0167417085026202,2.0441000000000003,,-0.0,-49.38748256612198,-5.1299437480000005,10,-51.29943748000001
AgScP2Se6,149,0.0,0.0,1.6339637031428778,1.6673,,0.0,-44.4691505617413,-4.615514306,10,-46.15514306
AgSe2,164,0.3683031346278562,0.388596303203125,,0.0,,2.27e-05,-8.835072989154268,-2.9163320633333334,3,-8.74899619
AgVP2Se6,5,0.004290893361986736,0.012374335049996965,0.3501861296627844,0.09560000000000013,1.999944802512608,2.0013477,-45.70977384469733,-4.6255596400000005,10,-46.2555964
Al2Bi2,129,0.08514277713250351,0.12375632750000021,0.09184506270781356,0.0,,0.005749,-16.48396369254731,-3.69941773,4,-14.79767092
Al2Br2,129,0.7083349533833224,0.6064587279166664,,2.1092000000000004,,0.0,-10.822394613436296,-2.82998071,4,-11.31992284
Al2Cl2,129,0.8290593348630144,0.6953302191666664,,2.4321,,0.0,-11.810779043137035,-3.10545551,4,-12.42182204
Al2Cl2O2,59,0.0,0.0,5.728716402441362,5.8584,,0.0,-35.4182186174808,-5.863715255,6,-35.18229153
Al2Cl6,162,0.0,0.0,5.487420265279271,5.524,,0.0,-30.42870910363288,-3.82404497375,8,-30.59235979
Al2F2,59,0.36619596436070845,0.8251818633333334,,0.9199999999999999,,-0.0,-18.781240970235572,-4.35285619,4,-17.41142476
Al2FeS4,164,0.10631599728059372,0.11896663595238177,0.6632481470093443,0.0,4.000201575171376,4.0103532,-38.430398778482434,-5.4230716985714285,7,-37.96150189
Al2Mg2Se5,164,0.011602937997559416,0.005905382222222144,1.1139074188874427,1.2614999999999998,,-0.0,-37.3565960211152,-4.14729989,9,-37.32569901
